query,answer
"60M with SOB, cough, fever, recent travel, chicken coop, sick contacts. Vitals: fever, HTN, tachycardia, SpO2 93% RA. CXR: bilateral pleural effusions. Pleural fluid: exudate (protein ratio 0.8, LDH ratio 0.75), glucose 25 mg/dL, lymphocytic leukocytosis. Next step?",D
Which of the following scenarios would be most likely to lead to a decrease in stroke volume?,D. Heart failure
"A 36-year-old primigravid woman who recently immigrated to the United States presents to her gynecologist for the first time during the 28th week of her pregnancy. She hasn’t received any prenatal care or folic acid supplementation. The patient’s history reveals that she has received blood transfusions in the past due to “severe anemia.” Which of the following blood type situations would put the fetus at risk for hemolytic disease of the newborn? Answer Choices: A. Mother is O positive, father is B negative B. Mother is A negative, father is B positive C. Mother is AB negative, father is O negative D. Mother is O positive, father is AB negative","B. Mother is A negative, father is B positive"
"34-year-old obese woman with recurrent panic attacks, visual hallucinations, and attention difficulties; concerns about weight gain from antipsychotic; which medication is best?",Ziprasidone
"70M, acute hypercalcemic crisis (lethargy, confusion, nausea), AKI (Cr 2.2), normocytic anemia (Hb 9.1), hip pain. CRAB features (HyperCalcemia, Renal failure, Anemia, Bone pain) + peak age (70) for multiple myeloma.",D
"58-year-old woman with left-sided numbness, burning pain, hyperesthesia, allodynia, mild weakness, old burn marks, recent stroke, hypertension, diabetes. Labs: A1c 7.9%, normal B12. What is the most likely diagnosis?",C. Dejerine‑Roussy syndrome
"A 3-day-old female infant with poor feeding, lethargy, vomiting, seizures, ketoacidosis, and elevated hydroxypropionic acid recovers with glucose and a protein diet lacking valine, leucine, methionine, threonine plus carnitine. Which enzyme is deficient?",C. Propionyl-CoA carboxylase
"In a normal fetus, the T2 signal is most likely to be the highest in which of the following vessels?",B. Ductus venosus
"A 40-year-old man with acute monoarticular arthritis of the big toe after alcohol use, history suggestive of gout. Which event contributed?",C
"A 72-year-old man involved in a traffic collision presents with shock, bradycardia, hypotension, and dies despite resuscitation. Autopsy reveals internal hemorrhages and ischemic changes in lungs, kidneys, and brain. The heart shows a gross anomaly similar to the picture. While acute hypovolemia explains the ischemic changes, which of the following best explains the gross anomaly of his heart?",B. Senile calcific aortic stenosis
"A 29-year-old woman presents with weekly episodes of intense fear, chest pain, lightheadedness, sweating, palpitations, choking sensation, hyperventilation, no triggers, avoidance behaviors. This patient's disorder is most likely genetically associated with a personality disorder with which of the following features?",D
"A 75-year-old woman with metastatic colon cancer requests assistance in ending her life due to unbearable pain. Current meds: 10 mg oral hydrocodone q12h. She is frail, lives alone, no close family. Which is the most appropriate initial action?",A. Submit a referral to hospice care
"A 46-year-old man presents with fatigue, dyspnea on exertion, recent onset diabetes despite healthy lifestyle, hyperpigmentation, an S4 heart sound, bilateral edema and rales, and echocardiogram showing preserved LVEF with impaired filling. What is the most likely explanation for this patient’s condition?",B. Increased intestinal absorption of iron
Angiography of the brain will most likely show a lesion in which of the following vessels?,Middle cerebral artery
"A 45-year-old woman with 6-month history of worsening involuntary movement of the left hand, worse with stress. Neurological exam shows difficulty initiating movement and resting tremor that decreases with voluntary movement. Most appropriate pharmacotherapy from options: A. Methimazole, B. Trihexyphenidyl, C. Donepezil, D. Pramipexole.",D. Pramipexole
"A 35-year-old woman with a 5 pack-year smoking history is scheduled for elective cholecystectomy. After discontinuing smoking for at least 8 weeks, what is the most likely histology of her upper respiratory tract's epithelial lining at the time of surgery?",Pseudostratified columnar
"A 35-year-old soldier with severe hypothermia (27.4°C) from an Arctic helicopter crash presents with unresponsiveness, bradycardia (30/min), hypotension (83/52 mm Hg), fixed dilated pupils, and atrial fibrillation. After emergent intubation, what is the next step?",D
"A 45-year-old man with chronic hoarseness, new hemoptysis, smoking history, and a rough vegetating vocal cord lesion: most likely diagnosis?",D
"A male newborn is delivered at term to a 26-year-old woman, gravida 2, para 3. The mother has no medical insurance and did not receive prenatal care. Physical examination shows microcephaly and ocular hypotelorism. There is a single nostril, cleft lip, and a solitary central maxillary incisor. An MRI of the head shows a single large ventricle and fused thalami. This patient's condition is most likely caused by abnormal expression of which of the following protein families? Answer Choices: A. Hedgehog B. Transforming growth factor C. Homeobox D. Fibroblast growth factor",A. Hedgehog
"24F power lifter with RUQ pain after heavy lift, shock (hypotension, tachycardia), acne, muscle hypertrophy, ultrasound: solitary heterogeneous RUQ mass. Which other finding is most likely?",D
"23M with suicide attempt, polypharmacy ingestion, tinnitus, high anion gap metabolic acidosis (AG=37) on repeat ABG, progression from resp alkalosis to metabolic acidosis",D. IV sodium bicarbonate
"A 62-year-old woman presents to the emergency department for evaluation of a spreading skin infection that began from an ulcer on her foot. The patient has type 2 diabetes mellitus that is poorly controlled. On examination, there is redness and erythema to the lower limb with skin breakdown along an extensive portion of the leg. The patient’s tissues separate readily from the fascial plane, prompting a diagnosis of necrotizing fasciitis. What is the exotoxin most likely associated with this patient’s presentation?",C. Streptococcal pyogenic exotoxin B
,D
"23-year-old woman with Ehlers-Danlos syndrome, right knee pain with effusion, lateral patellar displacement, osteochondral fragment on X-ray. What is the most appropriate next step in management?",A. Arthroscopy
"17F, cheerleader, amenorrhea 4mo, BMI 16.1, pale skin + lanugo → Anorexia Nervosa (hypothalamic amenorrhea, low estrogen → bone loss) → Increased fracture risk.",C
"63-year-old male with dyspnea, orthopnea, rales, edema, history MI, labs showing elevated BUN/Cr. Which therapy most appropriate?",A. Furosemide
"35-year-old male with fatigue, weakness, anemia, thrombocytopenia; bone marrow biopsy diagnoses acute promyelocytic leukemia. Which translocation and fusion gene are present?",B
"28M with left testicular mixed germ cell tumor (elevated β-hCG, normal AFP) post-orchiectomy. Lymphatic drainage of testis: follows testicular arteries (from aorta) → primary drainage to lumbar (para-aortic) lymph nodes. Scrotum drains to inguinal/external iliac; internal iliac drains pelvis; mediastinal drains thorax. Most likely lymph node spread: para-aortic.",D
"17-year-old male with bilateral hand tremor, neuropsychiatric changes, Kayser-Fleischer rings; best initial management?",Penicillamine
Which of the following is the most appropriate next step in management?,B. Benzodiazepines plus suppoive therapy
"32-year-old man with scrotal pain, heaviness, 'bag of worms' on exam, no transillumination. Most likely cause and its characteristics.",B
"A 4-year-old child with foul-smelling recurrent vaginal discharge, irritability, low-grade fever. No contact with other children. What is the most common cause?",B. Foreign body in the vagina
"25-year-old primigravid at 34 weeks with 8‑day generalized pruritus, mild scleral icterus, pallor, labs: Hb 11, WBC 8k, plt 250k, PT 11, total bilirubin 4 mg/dL (direct 3.2), bile acid 15 µmol/L, AST 45, ALT 50, normal smear and US. Most likely diagnosis?",A. Cholestasis of pregnancy
"24‑year‑old man, dyspnea, hemoptysis, pulmonary infiltrates, proteinuria, hematuria. Most likely increased serum titer?",A. Anti‑GBM antibody
"A 42-year-old man with blackened eschars on toes/fingers, history of DM (A1c 6.0), HTN, COPD, 27-pack-year smoking. Exam: diminished pedal pulses, shiny/hairless skin, normal sensation except over eschars. Labs: negative ANA, mild elevated CRP/ESR. Most direct history associated with problem?",B
"A 32-year-old man with a left chest stab wound (4th intercostal, midclavicular line) presents with hypotension, tachycardia, muffled heart sounds, jugular venous distention, and normal breath sounds. Which finding is most likely?",A. A 15 mm Hg decrease in systolic blood pressure during inspiration
